us_code,cn_code,cn_kind,y_col,sample_start,bucket,count,cn_mean,cn_median,cn_pct_down
NDX,HS300,cn_index,cn_ret_oc,data_start,us_ge_2pct,137,-0.0011956395338740453,-0.0017793043331185698,0.6204379562043796
NDX,ZZ500,cn_index,cn_ret_cc,data_start,us_le_-2pct,170,-0.007041155805955078,-0.0035732980198331377,0.6058823529411764
NDX,ZZ500,cn_index,cn_ret_cc,data_start,us_in_-2_-1pct,251,-0.0033283231020959586,-0.0024248123704092572,0.5737051792828686
NDX,ZZ500,cn_index,cn_ret_cc,data_start,us_in_-1_0pct,783,-1.70871053101448e-05,0.0002495238185620252,0.4942528735632184
NDX,ZZ500,cn_index,cn_ret_cc,data_start,us_in_0_1pct,1047,0.0013558529911997822,0.001247098819672443,0.44603629417383
NDX,ZZ500,cn_index,cn_ret_cc,data_start,us_in_1_2pct,374,0.002189662752529866,0.0024869079201681465,0.4117647058823529
NDX,ZZ500,cn_index,cn_ret_cc,data_start,us_ge_2pct,137,0.004406880801955951,0.0037995818676104243,0.35036496350364965
NDX,ZZ500,cn_index,cn_ret_oc,data_start,us_le_-2pct,170,0.0031333503397551576,0.002275257158250499,0.4294117647058823
NDX,ZZ500,cn_index,cn_ret_oc,data_start,us_in_-2_-1pct,251,0.00025641085028344944,0.0019441431477826843,0.46613545816733065
NDX,ZZ500,cn_index,cn_ret_oc,data_start,us_in_-1_0pct,783,0.0010409725706010569,0.0010717283610592876,0.44699872286079184
NDX,ZZ500,cn_index,cn_ret_oc,data_start,us_in_0_1pct,1047,0.0010182764742590737,0.0017336367158746757,0.43170964660936006
NDX,ZZ500,cn_index,cn_ret_oc,data_start,us_in_1_2pct,374,0.00036155130776296165,0.0003395492684484802,0.48663101604278075
NDX,ZZ500,cn_index,cn_ret_oc,data_start,us_ge_2pct,137,-0.0003674284919661075,-0.00011071157773290263,0.5109489051094891
NDX,ZZ1000,cn_index,cn_ret_cc,data_start,us_le_-2pct,170,-0.007587414619610488,-0.004056021896585715,0.5882352941176471
NDX,ZZ1000,cn_index,cn_ret_cc,data_start,us_in_-2_-1pct,251,-0.003364595392021739,-0.0019857888390845124,0.5697211155378487
NDX,ZZ1000,cn_index,cn_ret_cc,data_start,us_in_-1_0pct,783,-8.408554329463494e-05,0.0003020629461951696,0.48020434227330777
