n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,sample_start
250,17.8833186748754,0.448,-8.611895212875059,-11.493352505587799,121.98059382884304,531.984496124032,-357.7587939698497,-20.85610676145019,-29.02023177027272,-0.29856029511003973,-1.1162924768835791,naive_short_SPX_IH_thr0.010,naive_short,SPX,IH,0.01,all
250,17.8833186748754,0.496,-3.3881047871249486,-0.5066474944121987,121.98059382884307,345.75879396984965,-543.9844961240321,-9.815353047731723,-19.207814855846973,-0.11746004103666496,-0.43917346777587773,bounce_long_SPX_IH_thr0.010,bounce_long,SPX,IH,0.01,all
309,22.103781882146,0.5307443365695793,8.73158950486761,5.732229123533334,101.71824568649316,420.7241379310349,-460.1420118343198,28.8924212374833,-8.766796077275508,0.4035782399376907,1.5089459665435963,fade_short_SPX_IH_thr0.010,fade_short,SPX,IH,0.01,all
149,10.65845793022574,0.4429530201342282,-9.249464009503408,-15.309542280837578,133.4561741623589,531.984496124032,-293.3098684693942,-14.01826636209268,-22.678275993971365,-0.22626901376822794,-0.8460013001000218,naive_short_SPX_IH_thr0.015,naive_short,SPX,IH,0.015,all
149,10.65845793022574,0.5167785234899329,-2.7505359904966054,3.30954228083758,133.4561741623589,281.3098684693942,-543.9844961240321,-5.279096111216641,-10.417128440541145,-0.06728617628699728,-0.2515774991438624,bounce_long_SPX_IH_thr0.015,bounce_long,SPX,IH,0.015,all
123,8.798592788038698,0.6341463414634146,23.38314448999156,26.752613240418782,121.56739334255788,420.7241379310349,-460.1420118343198,32.08884980620388,-5.550273069530077,0.5705483028285045,2.133233348765995,fade_short_SPX_IH_thr0.015,fade_short,SPX,IH,0.015,all
83,5.937261800058634,0.42168674698795183,-14.769284036152646,-30.511520414594035,147.30639019743168,531.984496124032,-293.3098684693942,-12.325189119674073,-22.64198523125699,-0.24430421238026873,-0.9134334297551127,naive_short_SPX_IH_thr0.020,naive_short,SPX,IH,0.02,all
83,5.937261800058634,0.5662650602409639,2.769284036152636,18.511520414594035,147.30639019743168,281.3098684693942,-543.9844961240321,1.4117679709614972,-11.844019430105114,0.0458077557214994,0.17127144477126088,bounce_long_SPX_IH_thr0.020,bounce_long,SPX,IH,0.02,all
61,4.363529756669598,0.7213114754098361,25.570226153353044,39.45454545454519,135.2100822626338,399.5511612856843,-460.1420118343198,16.21682918910161,-6.4983118038349,0.3950430840404315,1.4770337180859523,fade_short_SPX_IH_thr0.020,fade_short,SPX,IH,0.02,all
51,3.648197009674582,0.4117647058823529,-5.878200281900172,-32.385224274405594,172.41834946170277,531.984496124032,-293.3098684693942,-3.6678580939140226,-17.079832645414463,-0.06511784766863728,-0.2434702961308345,naive_short_SPX_IH_thr0.025,naive_short,SPX,IH,0.025,all
51,3.648197009674582,0.5882352941176471,-6.121799718099837,20.385224274405594,172.41834946170277,281.3098684693942,-543.9844961240321,-3.7998961547562216,-9.14756706442187,-0.06781640678841737,-0.253559987537141,bounce_long_SPX_IH_thr0.025,bounce_long,SPX,IH,0.025,all
33,2.360598065083553,0.7272727272727273,28.383176382173225,45.2455516014243,137.39652558092757,399.5511612856843,-460.1420118343198,9.472834704050626,-4.601420118343203,0.31739221402449885,1.186703478459473,fade_short_SPX_IH_thr0.025,fade_short,SPX,IH,0.025,all
580,41.48929932571093,0.46551724137931033,-5.939904011403661,-6.838533087518244,118.12508974079131,620.5949937557691,-387.2113457027078,-31.951248923262465,-36.3367168372605,-0.3238958068293944,-1.2110198789980753,naive_short_NDX_IF_thr0.005,naive_short,NDX,IF,0.005,all
580,41.48929932571093,0.4724137931034483,-6.060095988596346,-5.161466912481754,118.12508974079131,375.2113457027077,-632.5949937557691,-32.44215177260632,-37.649477908702124,-0.330449730487505,-1.235524462472317,bounce_long_NDX_IF_thr0.005,bounce_long,NDX,IF,0.005,all
793,56.725886836704774,0.49936948297604034,-1.2252277342941689,-0.35736677115937837,106.78439523921429,600.4947468958925,-620.3497757847528,-13.27061513131339,-27.24443664109132,-0.08641709712658102,-0.3231064444150734,fade_short_NDX_IF_thr0.005,fade_short,NDX,IF,0.005,all
358,25.608912342421576,0.4748603351955307,-3.724983255885401,-4.8625680730836,131.27924050853144,620.5949937557691,-387.2113457027078,-15.131091694091147,-24.805514219756496,-0.14358988119149954,-0.5368707988167039,naive_short_NDX_IF_thr0.010,naive_short,NDX,IF,0.01,all
358,25.608912342421576,0.4692737430167598,-8.275016744114609,-7.137431926916398,131.27924050853144,375.2113457027077,-632.5949937557691,-27.914446039493214,-30.484262878064637,-0.3189836274479193,-1.1926536428358883,bounce_long_NDX_IF_thr0.010,bounce_long,NDX,IF,0.01,all
442,31.617707417179712,0.5113122171945701,5.56178428964184,3.236724103894312,102.92573614146465,600.4947468958925,-413.4626865671638,24.92177645942173,-10.756357198929479,0.3038472760630293,1.136060065407277,fade_short_NDX_IF_thr0.010,fade_short,NDX,IF,0.01,all
