n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,hold_days
83,5.937261800058634,0.5542168674698795,13.782960379526807,19.47565301515675,203.90717953488533,533.1832444427135,-619.6986301369863,10.207346290757503,-12.329321073411359,0.16470359926681113,0.6158132604652776,bounce_long_SPX_IC_thr0.020,bounce_long,SPX,IC,0.02,1
61,4.363529756669598,0.5573770491803278,18.797836844658743,19.313117996044188,146.0317879239094,492.61598080826684,-346.44902465955045,11.427551518093537,-11.586524770558459,0.26889296767850845,1.00536877080654,fade_short_SPX_IC_thr0.020,fade_short,SPX,IC,0.02,1
83,5.937261800058634,0.43373493975903615,-25.78296037952683,-31.47565301515675,203.9071795348853,607.6986301369861,-545.1832444427137,-20.650795357948383,-28.768638846229045,-0.3081011812650547,-1.151965068357005,multi_day_h1_SPX_IC_thr0.020,multi_day,SPX,IC,0.02,1
83,5.937261800058634,0.5060240963855421,-12.332982048645192,4.492678971716352,286.24938269229887,714.8853340688125,-943.4391715653841,-12.73671129893894,-27.355097083243017,-0.10498243463926141,-0.39252071997563076,multi_day_h3_SPX_IC_thr0.020,multi_day,SPX,IC,0.02,3
83,5.937261800058634,0.4819277108433735,-8.076999807247404,-23.04814522494047,341.93691751228596,835.0757946210256,-745.306460130258,-10.863511545581039,-34.304166565470496,-0.05755687150121778,-0.2152004258506098,multi_day_h5_SPX_IC_thr0.020,multi_day,SPX,IC,0.02,5
51,3.648197009674582,0.45098039215686275,-14.196817986790327,-55.88950646219736,240.99866243477504,607.6986301369861,-545.1832444427137,-8.325718108278457,-23.24003862461722,-0.1125163210844919,-0.4206893040045497,naive_short_SPX_IC_thr0.025,naive_short,SPX,IC,0.025,1
51,3.648197009674582,0.5490196078431373,2.196817986790306,43.88950646219737,240.99866243477504,533.1832444427135,-619.6986301369863,-0.34200888892168546,-11.111509928585296,0.0174107943199579,0.06509753317591357,bounce_long_SPX_IC_thr0.025,bounce_long,SPX,IC,0.025,1
33,2.360598065083553,0.5454545454545454,24.214904719302424,12.121623976301573,151.48029745575434,492.61598080826684,-233.01812191103787,7.916420838019489,-6.481304987972503,0.24560524588829288,0.918297887424025,fade_short_SPX_IC_thr0.025,fade_short,SPX,IC,0.025,1
51,3.648197009674582,0.45098039215686275,-14.196817986790327,-55.88950646219736,240.99866243477504,607.6986301369861,-545.1832444427137,-8.325718108278457,-23.24003862461722,-0.1125163210844919,-0.4206893040045497,multi_day_h1_SPX_IC_thr0.025,multi_day,SPX,IC,0.025,1
51,3.648197009674582,0.5294117647058824,5.544744918945551,10.303679094377134,313.0546140897116,714.8853340688125,-943.4391715653841,0.3660352551683843,-22.096600073462547,0.033829891423151195,0.1264871917263258,multi_day_h3_SPX_IC_thr0.025,multi_day,SPX,IC,0.025,3
51,3.648197009674582,0.49019607843137253,11.100777890083862,-23.777145701485253,354.41002378616514,835.0757946210256,-719.9798341573567,2.5660821225099495,-24.607329127928736,0.05982553046378933,0.22368275579873548,multi_day_h5_SPX_IC_thr0.025,multi_day,SPX,IC,0.025,5
208,36.277340957827015,0.44711538461538464,-8.743404237618634,-8.88169822542761,143.13413495233624,544.3565837536961,-443.12275575718,-18.38116800195827,-21.936441550896358,-0.36792141220921176,-0.8809860013152248,naive_short_SPX_IM_thr0.005,naive_short,SPX,IM,0.005,1
208,36.277340957827015,0.4951923076923077,-3.256595762381381,-3.1183017745723904,143.13413495233624,431.1227557571799,-556.3565837536961,-8.520673549012747,-22.656594376345783,-0.13703716302338412,-0.3281348088947432,bounce_long_SPX_IM_thr0.005,bounce_long,SPX,IM,0.005,1
282,49.18370264474625,0.5070921985815603,1.1702657687984597,0.8151626524304293,153.29743237638638,713.3359975407332,-1101.3783041651511,-0.021766772646003574,-28.852635968005792,0.053537764258117584,0.12819591164837146,fade_short_SPX_IM_thr0.005,fade_short,SPX,IM,0.005,1
208,36.277340957827015,0.44711538461538464,-8.743404237618634,-8.88169822542761,143.13413495233624,544.3565837536961,-443.12275575718,-18.38116800195827,-21.936441550896358,-0.36792141220921176,-0.8809860013152248,multi_day_h1_SPX_IM_thr0.005,multi_day,SPX,IM,0.005,1
208,36.277340957827015,0.4807692307692308,11.216653469821695,-15.254746408325907,288.9810747992997,1117.926534194195,-909.463919111145,15.94393555934268,-33.356522510491246,0.2337822985375178,0.5597905572555674,multi_day_h3_SPX_IM_thr0.005,multi_day,SPX,IM,0.005,3
208,36.277340957827015,0.5,5.188979402877016,3.0191309057446882,329.88592501372415,1197.8488058672347,-925.2264811041473,-0.46345722644555165,-39.67681908559708,0.094740546151583,0.22685576904951302,multi_day_h5_SPX_IM_thr0.005,multi_day,SPX,IM,0.005,5
106,18.487491065046463,0.39622641509433965,-13.53032088189929,-34.69652376037535,158.41781853590405,544.3565837536961,-443.12275575718,-14.498970355570984,-14.796044958420252,-0.36723414642244806,-0.879340346788933,naive_short_SPX_IM_thr0.010,naive_short,SPX,IM,0.01,1
106,18.487491065046463,0.5471698113207547,1.5303208818992817,22.69652376037535,158.41781853590405,431.1227557571799,-556.3565837536961,0.2951844145798743,-16.037797147841758,0.04153531078250696,0.0994560961808294,bounce_long_SPX_IM_thr0.010,bounce_long,SPX,IM,0.01,1
128,22.324517512508933,0.5078125,14.84663580135476,0.8151626524304293,142.90506701886903,713.3359975407332,-269.12407633489744,19.383608691775358,-7.788234685575679,0.490875625756082,1.175399257361113,fade_short_SPX_IM_thr0.010,fade_short,SPX,IM,0.01,1
106,18.487491065046463,0.39622641509433965,-13.53032088189929,-34.69652376037535,158.41781853590405,544.3565837536961,-443.12275575718,-14.498970355570984,-14.796044958420252,-0.36723414642244806,-0.879340346788933,multi_day_h1_SPX_IM_thr0.010,multi_day,SPX,IM,0.01,1
106,18.487491065046463,0.42452830188679247,-13.071415118718493,-58.3298964798824,297.576160384246,1111.01901399464,-909.463919111145,-16.859205990044778,-36.12464682352214,-0.1888702085477823,-0.45224877996898843,multi_day_h3_SPX_IM_thr0.010,multi_day,SPX,IM,0.01,3
